file,cost,time,generate,expande
instances/test_1.txt,41,0.65,35,18
instances/test_10.txt,20,0.05,5,3
instances/test_11.txt,35,0.04,5,3
instances/test_12.txt,36,0.2,13,7
instances/test_13.txt,36,0.32,19,10
instances/test_14.txt,24,0.01,3,2
instances/test_15.txt,51,0.42,25,13
instances/test_16.txt,51,0.71,37,19
instances/test_17.txt,39,0.0,1,1
instances/test_18.txt,32,0.3,19,10
instances/test_19.txt,47,0.14,9,5
instances/test_2.txt,18,0.0,1,1
instances/test_20.txt,28,0.02,3,2
instances/test_21.txt,46,0.1,7,4
instances/test_22.txt,52,0.16,11,6
instances/test_23.txt,32,0.02,3,2
instances/test_24.txt,47,0.23,15,8
instances/test_25.txt,40,0.13,9,5
instances/test_26.txt,44,0.16,11,6
instances/test_27.txt,40,0.13,9,5
instances/test_28.txt,41,0.24,13,7
instances/test_29.txt,48,0.46,25,13
instances/test_3.txt,28,0.0,1,1
instances/test_30.txt,43,0.15,11,6
instances/test_31.txt,39,0.26,17,9
instances/test_32.txt,30,0.09,7,4
instances/test_33.txt,28,0.14,11,6
instances/test_34.txt,33,0.06,5,3
instances/test_35.txt,30,0.06,5,3
instances/test_36.txt,23,0.0,3,2
instances/test_37.txt,38,0.15,11,6
instances/test_38.txt,28,0.0,1,1
instances/test_39.txt,35,0.02,3,2
instances/test_4.txt,32,0.41,25,13
instances/test_40.txt,24,0.0,3,2
instances/test_41.txt,45,2.07,107,54
instances/test_42.txt,57,6.83,351,176
instances/test_43.txt,43,0.24,13,7
instances/test_44.txt,33,0.12,9,5
instances/test_45.txt,24,0.02,3,2
instances/test_46.txt,57,0.24,15,8
instances/test_47.txt,68,774.19,33769,16886
instances/test_48.txt,36,0.36,7,4
instances/test_49.txt,42,0.16,11,6
instances/test_5.txt,26,0.18,11,6
instances/test_50.txt,48,0.53,23,12
instances/test_6.txt,24,0.07,5,3
instances/test_7.txt,34,0.02,3,2
instances/test_8.txt,38,3.61,187,94
instances/test_9.txt,24,0.01,1,1
