agents,cost,time,generate,expande,collisionSum
NathanInstances/scen-random/random-32-32-20-random-1.scen,204,0.22,5,3,2
NathanInstances/scen-random/random-32-32-20-random-10.scen,225,0.54,11,6,5
NathanInstances/scen-random/random-32-32-20-random-11.scen,221,0.19,3,2,2
NathanInstances/scen-random/random-32-32-20-random-12.scen,225,0.5,13,7,4
NathanInstances/scen-random/random-32-32-20-random-13.scen,220,1.71,39,20,6
NathanInstances/scen-random/random-32-32-20-random-14.scen,210,0.26,3,2,1
NathanInstances/scen-random/random-32-32-20-random-15.scen,163,0.21,1,1,0
NathanInstances/scen-random/random-32-32-20-random-16.scen,240,1.47,39,20,23
NathanInstances/scen-random/random-32-32-20-random-17.scen,204,0.14,3,2,1
NathanInstances/scen-random/random-32-32-20-random-18.scen,233,0.12,1,1,0
NathanInstances/scen-random/random-32-32-20-random-19.scen,264,0.65,17,9,12
NathanInstances/scen-random/random-32-32-20-random-2.scen,203,0.26,5,3,2
NathanInstances/scen-random/random-32-32-20-random-20.scen,228,0.3,7,4,4
NathanInstances/scen-random/random-32-32-20-random-21.scen,265,2.31,17,9,1
NathanInstances/scen-random/random-32-32-20-random-22.scen,211,0.25,7,4,9
NathanInstances/scen-random/random-32-32-20-random-23.scen,240,0.55,11,6,20
NathanInstances/scen-random/random-32-32-20-random-24.scen,155,0.18,5,3,2
NathanInstances/scen-random/random-32-32-20-random-25.scen,253,0.16,3,2,14
NathanInstances/scen-random/random-32-32-20-random-3.scen,206,0.28,7,4,3
NathanInstances/scen-random/random-32-32-20-random-4.scen,240,0.27,7,4,3
NathanInstances/scen-random/random-32-32-20-random-5.scen,289,0.15,3,2,1
NathanInstances/scen-random/random-32-32-20-random-6.scen,228,0.11,1,1,0
NathanInstances/scen-random/random-32-32-20-random-7.scen,228,0.2,5,3,4
NathanInstances/scen-random/random-32-32-20-random-8.scen,232,0.27,7,4,3
NathanInstances/scen-random/random-32-32-20-random-9.scen,194,2.11,49,25,8
